Name,Country,Role,Organization,Type,Category,Contribution,ImageUrl,WebsiteUrl,LinkedinUrl,KeyResourceUrl
Dr. Stephan Ehlen,Germany,Expert Quantum Technologies and PQC,BSI (Germany),Public,Government,"Presented BSI's PQC policy at international conferences; developed recommendations for FrodoKEM, Classic McEliece, XMSS, LMS.",https://ui-avatars.com/api/?name=Stephan+Ehlen&background=0b0d17&color=22d3ee&size=128&bold=true,https://www.bsi.bund.de/,https://www.linkedin.com/in/stephan-ehlen/,
Juhan Lepassaar,Estonia/EU,Executive Director,ENISA,Public,Government,"Oversaw publication of key ENISA PQC reports (2021-2022); hosted Threathunt 2030 Conference; coordinated EU-wide PQC guidance.",https://ui-avatars.com/api/?name=Juhan+Lepassaar&background=0b0d17&color=22d3ee&size=128&bold=true,https://www.enisa.europa.eu/,https://www.linkedin.com/in/juhan-lepassaar-961205340/,
Dr. Vadim Lyubashevsky,USA/Switzerland,Principal Research Scientist,IBM Research Europe Zurich,Academic,Algorithm Inventor,"Principal designer of both Kyber (ML-KEM) and Dilithium (ML-DSA); authored foundational lattice cryptography tutorials.",https://ui-avatars.com/api/?name=Vadim+Lyubashevsky&background=0b0d17&color=f59e0b&size=128&bold=true,https://researcher.watson.ibm.com/researcher/view.php?person=zurich-VAD,https://www.linkedin.com/in/vadim-lyubashevsky-13b8142/,"FIPS 203;FIPS 204"
Prof. Dr. Léo Ducas,France/Netherlands,"Senior Researcher; Professor","CWI Amsterdam; Leiden University",Academic,Algorithm Inventor,"Co-designer of Kyber, Dilithium, NewHope, Frodo; leading expert on lattice cryptanalysis; USENIX/Facebook Internet Defense Prize recipient.",https://ui-avatars.com/api/?name=Leo+Ducas&background=0b0d17&color=f59e0b&size=128&bold=true,https://homepages.cwi.nl/~ducas/,https://www.linkedin.com/in/leo-ducas-28b6a04a/,"FIPS 203;FIPS 204"
Dr. Joppe Bos,Belgium,Cryptographic Researcher,NXP Semiconductors,Private,Algorithm Inventor,"Co-author of Kyber and Frodo; expertise in efficient lattice implementations for embedded systems.",https://ui-avatars.com/api/?name=Joppe+Bos&background=0b0d17&color=f59e0b&size=128&bold=true,https://www.joppebos.com/,https://www.linkedin.com/in/joppebos/,FIPS 203
Prof. Dr. Eike Kiltz,Germany,Professor,Ruhr University Bochum,Academic,Algorithm Inventor,"Co-designer of Kyber and Dilithium; developed security proofs for lattice-based schemes.",https://ui-avatars.com/api/?name=Eike+Kiltz&background=0b0d17&color=f59e0b&size=128&bold=true,https://informatik.rub.de/kiltz/,https://www.linkedin.com/in/eike-kiltz-24b167387/,"FIPS 203;FIPS 204"
Dr. Gregor Seiler,Switzerland,Research Scientist,IBM Research Europe Zurich,Private,Algorithm Inventor,"Co-designer of Dilithium; led optimized implementations; contributor to FALCON signature scheme.",https://ui-avatars.com/api/?name=Gregor+Seiler&background=0b0d17&color=f59e0b&size=128&bold=true,https://research.ibm.com/,https://www.linkedin.com/in/gregor-seiler-118299231/,FIPS 204
Prof. Dr. Andreas Hülsing,Germany/Netherlands,Associate Professor,"TU Eindhoven; SandboxAQ",Academic,Algorithm Inventor,"Team leader and primary submitter for SPHINCS+; inventor of WOTS+ and XMSS; extensive publications on hash-based signatures.",https://ui-avatars.com/api/?name=Andreas+Hulsing&background=0b0d17&color=f59e0b&size=128&bold=true,https://huelsing.net/wordpress/?page_id=5,https://www.linkedin.com/in/andreas-huelsing-b7868874/,FIPS 205
Dr. Carlos Aguilar Melchor,France,Chief Cybersecurity Scientist,SandboxAQ,Private,Algorithm Inventor,"Principal developer of HQC since 2000s; demonstrated HQC resolved 40-year-old open problem in code-based key exchanges.",https://ui-avatars.com/api/?name=Carlos+Aguilar+Melchor&background=0b0d17&color=f59e0b&size=128&bold=true,https://www.sandboxaq.com/,https://www.linkedin.com/in/carlos-aguilar-melchor/,FIPS-207-HQC
Prof. Dr. Gilles Zémor,France,Professor,Institut de Mathématiques de Bordeaux,Academic,Algorithm Inventor,"Co-designer of HQC; expertise in coding theory and efficient error-correcting codes.",https://ui-avatars.com/api/?name=Gilles+Zemor&background=0b0d17&color=f59e0b&size=128&bold=true,https://www.math.u-bordeaux.fr/,https://www.linkedin.com/in/gilles-zémor-a02292b/,FIPS-207-HQC
Mark Hughes,USA,Global Managing Partner Consulting Cybersecurity,IBM,Private,Industry Vendor,"Leads IBM's quantum-safe consulting; IBM z17 mainframe launched with PQC Crypto Engine and NIST-standard APIs (Jun 2025); partnered with Palo Alto Networks (Nov 2025) for Quantum-Safe Readiness solution.",https://ui-avatars.com/api/?name=Mark+Hughes&background=0b0d17&color=a78bfa&size=128&bold=true,https://www.ibm.com/quantum/quantum-safe,https://www.linkedin.com/in/markhughesibm/,
Jack Hidary,USA,CEO,SandboxAQ,Private,Industry Vendor,"Founded quantum group at Alphabet (2016), led spinout (2022); author of 'Quantum Computing: An Applied Approach'; founding member of PQC Alliance (Feb 2024).",https://ui-avatars.com/api/?name=Jack+Hidary&background=0b0d17&color=a78bfa&size=128&bold=true,https://www.sandboxaq.com/,https://www.linkedin.com/in/jackhidary/,
Dr. Ali El Kaafarani,UK,CEO and Founder,PQShield,Private,Industry Vendor,"Leading NIST PQC standardization contributor; contributed RISC-V crypto extensions; raised $65.3M including $37M Series B (Jun 2024).",https://ui-avatars.com/api/?name=Ali+El+Kaafarani&background=0b0d17&color=a78bfa&size=128&bold=true,https://pqshield.com/,https://www.linkedin.com/in/ali-el-kaafarani/,
Dr. Amit Sinha,USA,CEO,DigiCert,Private,Industry Vendor,"Named CEO Oct 2022; leading World Quantum Readiness Day initiative; launched DigiCert ONE platform supporting PQC.",https://ui-avatars.com/api/?name=Amit+Sinha&background=0b0d17&color=a78bfa&size=128&bold=true,https://www.digicert.com/,https://www.linkedin.com/in/amitsinha/,
Todd Moore,France/USA,Global VP Data Security Products,Thales,Private,Industry Vendor,"Leads Luna HSMs and High Speed Encryptors; launched PQC Starter Kit with Quantinuum (Jan 2024); Thales co-authored FALCON algorithm.",https://ui-avatars.com/api/?name=Todd+Moore&background=0b0d17&color=a78bfa&size=128&bold=true,https://cpl.thalesgroup.com/,https://www.linkedin.com/in/todd-moore-a21a143/,
Dr. Atsushi Yamada,Canada,CEO,ISARA Corporation,Private,Industry Vendor,"Appointed CEO May 2023; pioneer of hybrid certificate approach with public patents; developed ISARA Catalyst Crypto Agile PKI platform.",https://ui-avatars.com/api/?name=Atsushi+Yamada&background=0b0d17&color=a78bfa&size=128&bold=true,https://www.isara.com/,https://www.linkedin.com/in/atsushi-yamada-4a990167/,
Dr. Shahram Mossayebi,UK,CEO and Co-Founder,Crypto Quantique,Private,Industry Vendor,"Founded company (2016) for IoT security using quantum technologies; created QDID—world's first quantum-driven secure silicon chip.",https://ui-avatars.com/api/?name=Shahram+Mossayebi&background=0b0d17&color=a78bfa&size=128&bold=true,https://crypto-quantique.com/,https://www.linkedin.com/in/mossayebi/,
Rebecca Krauthamer,USA,CEO and Co-Founder,QuSecure,Private,Industry Vendor,"Led $28M Series A; launched QuProtect—first end-to-end PQC software platform (May 2022); customers include U.S. Army and Air Force.",https://ui-avatars.com/api/?name=Rebecca+Krauthamer&background=0b0d17&color=a78bfa&size=128&bold=true,https://www.qusecure.com/,https://www.linkedin.com/in/rkrauthamer/,
Greg Wetmore,USA/Canada,VP of Software Development,Entrust,Private,Industry Vendor,"Leads Entrust Strong Identities and Trusted Infrastructure; proposed only IETF draft for composite (hybrid) certificates; NIST NCCoE participant.",https://ui-avatars.com/api/?name=Greg+Wetmore&background=0b0d17&color=a78bfa&size=128&bold=true,https://www.entrust.com/,https://www.linkedin.com/in/gregwetmore/,
Phil Venables,USA,"Venture Partner; Former CISO",Ballistic Ventures (former Google Cloud),Private,Industry Adopter,"Former VP Technical Infrastructure Security and CISO at Google Cloud (departed Apr 2025); led Google's multi-pronged PQC strategy: testing in Chrome since 2016, protecting internal comms since 2022, contributing to NIST standards; now Venture Partner at Ballistic Ventures.",https://ui-avatars.com/api/?name=Phil+Venables&background=0b0d17&color=10b981&size=128&bold=true,https://ballisticventures.com/,https://www.linkedin.com/in/philvenables/,
Sophie Schmieg,USA,Senior Cryptography Engineer,Google,Private,Industry Adopter,"Enabled PQC on Google's ALTS protocol (2022) with hybrid NTRU-HRSS + X25519; co-authored SPHINCS+; maintains PQC in BoringCrypto and Tink.",https://ui-avatars.com/api/?name=Sophie+Schmieg&background=0b0d17&color=10b981&size=128&bold=true,https://www.google.com/,https://www.linkedin.com/in/sophie-schmieg-14367499/,FIPS 205
Panos Kampanakis,USA,Principal Security Engineer AWS Cryptography,AWS,Private,Industry Adopter,"Key architect of AWS's PQC strategy; deployed ML-KEM PQC across KMS, Secrets Manager, Certificate Manager; AWS-LC FIPS 3.0 first library with ML-KEM in FIPS 140-3; CRYSTALS-Kyber retirement planned 2026.",https://ui-avatars.com/api/?name=Panos+Kampanakis&background=0b0d17&color=10b981&size=128&bold=true,https://aws.amazon.com/security/post-quantum-cryptography/,https://www.linkedin.com/in/panoskampanakis/,"RFC-9909;draft-ietf-tls-ecdhe-mlkem-04;draft-ietf-pquip-pqc-engineers-14"
Matthew Campagna,USA,"Lead Cryptographer; Chair ETSI TC CYBER WG QSC",AWS,Private,Standards,"Leads AWS cryptography R&D; chairs ETSI QSC since ~2017; co-authored AWS's multi-phase migration strategy; team contributed to NIST FIPS.",https://ui-avatars.com/api/?name=Matthew+Campagna&background=0b0d17&color=10b981&size=128&bold=true,https://aws.amazon.com/,https://www.linkedin.com/in/matt-campagna/,FIPS 203
Bas Westerbaan,Netherlands,Principal Research Engineer,Cloudflare,Private,Industry Adopter,"Primary architect of Cloudflare's PQC deployment; led X25519+ML-KEM hybrid; 38%+ HTTPS traffic PQC-protected (Mar 2025); working on Merkle Tree Certificates with Chrome; WARP PQC Phase 2 targeted summer 2026.",https://ui-avatars.com/api/?name=Bas+Westerbaan&background=0b0d17&color=10b981&size=128&bold=true,https://blog.cloudflare.com/,https://www.linkedin.com/in/baswesterbaan/,RFC 9881
Ehren Kret,USA,Protocol Developer/Cryptographer,Signal,Private,Industry Adopter,"Co-developed PQXDH protocol (Sep 2023) and Triple Ratchet with SPQR (Oct 2025); continuous PQC key agreement deployed in all Signal clients; collaborated with PQShield and NYU.",https://ui-avatars.com/api/?name=Ehren+Kret&background=0b0d17&color=10b981&size=128&bold=true,https://signal.org/,https://www.linkedin.com/in/ehrenkret/,
Rolfe Schmidt,USA,Engineer,Signal,Private,Industry Adopter,"Co-author of PQXDH; led development of SPQR Triple Ratchet (Oct 2025) with formal ProVerif verification; transparent automatic PQC ratcheting for all Signal users.",https://ui-avatars.com/api/?name=Rolfe+Schmidt&background=0b0d17&color=10b981&size=128&bold=true,https://signal.org/,https://www.linkedin.com/in/rolfeschmidt/,
Luke Ibbetson,UK,Head of Group R&D,Vodafone,Private,Industry Adopter,"Co-founded GSMA Post-Quantum Telco Network Taskforce with IBM (Sep 2022); Vodafone-IBM quantum-safe Secure Net smartphone security partnership (Mar 2025) protecting millions of mobile users; broader rollout planned 2026.",https://ui-avatars.com/api/?name=Luke+Ibbetson&background=0b0d17&color=10b981&size=128&bold=true,https://www.vodafone.com/,https://www.linkedin.com/in/luke-ibbetson-26170b23/,
Marco Pistoia,USA,SVP Industry Relations,IonQ,Private,Industry Vendor,"Former Head of Global Technology Applied Research at JPMorgan Chase (departed mid-2025); built one of first internal quantum teams at a financial institution; led QKD research and PQC implementation; now SVP Industry Relations at IonQ.",https://ui-avatars.com/api/?name=Marco+Pistoia&background=0b0d17&color=a78bfa&size=128&bold=true,https://ionq.com/,https://www.linkedin.com/in/pistoia/,
Sofia Celi,Portugal,"Cryptography Researcher; PQUIP WG Co-Chair",Brave Software,Private,Standards,"Co-chairs IETF PQUIP working group; co-author of KEMTLS protocol; contributor to TLS AuthKEM draft.",https://ui-avatars.com/api/?name=Sofia+Celi&background=0b0d17&color=60a5fa&size=128&bold=true,https://brave.com/,https://www.linkedin.com/in/sofia-celi-27704743/,
Russ Housley,USA,LAMPS WG Co-Chair,Vigil Security,Private,Standards,"Co-chairs LAMPS WG; extensive work on PQC for PKIX certificates and CMS; hybrid key establishment standards.",https://ui-avatars.com/api/?name=Russ+Housley&background=0b0d17&color=60a5fa&size=128&bold=true,https://www.vigilsec.com/,https://www.linkedin.com/in/russ-housley-41969/,"RFC 5652;RFC 5083"
Tim Hollebeek,USA,LAMPS WG Co-Chair,DigiCert,Private,Standards,"Co-chairs LAMPS WG; co-author of 'PQC for Engineers' draft; active in composite signatures and PQC certificates.",https://ui-avatars.com/api/?name=Tim+Hollebeek&background=0b0d17&color=60a5fa&size=128&bold=true,https://www.digicert.com/,https://www.linkedin.com/in/timothy-hollebeek-505b814/,draft-ietf-pquip-pqc-engineers-14
Mike Ounsworth,Canada,Software Security Architect,Entrust,Private,Standards,"Lead author of Composite ML-DSA signatures draft (adopted May 2024); Composite ML-KEM draft; pioneering hybrid/composite PKI since 2019.",https://ui-avatars.com/api/?name=Mike+Ounsworth&background=0b0d17&color=60a5fa&size=128&bold=true,https://www.entrust.com/,,draft-bonnell-lamps-chameleon-certs-07
Dr. Douglas Stebila,Canada,Professor,University of Waterloo,Academic,Standards,"Lead author of draft-ietf-tls-hybrid-design (TLS 1.3 hybrid key exchange); co-author of ECDHE-MLKEM drafts; foundational PQC TLS research.",https://ui-avatars.com/api/?name=Douglas+Stebila&background=0b0d17&color=60a5fa&size=128&bold=true,https://www.douglas.stebila.ca/,https://www.linkedin.com/in/douglasstebila/,draft-ietf-tls-ecdhe-mlkem-04
Kris Kwiatkowski,UK,Cryptography Researcher,PQShield,Private,Standards,"Lead author of draft-ietf-tls-ecdhe-mlkem (Post-quantum hybrid key agreement); key contributor to TLS PQC integration.",https://ui-avatars.com/api/?name=Kris+Kwiatkowski&background=0b0d17&color=60a5fa&size=128&bold=true,https://pqshield.com/,https://www.linkedin.com/in/krzysiekkwiatkowski/,"draft-ietf-tls-ecdhe-mlkem-04;draft-kwiatkowski-pquip-pqc-migration-00"
Dr. Thom Wiggers,Netherlands,Senior Cryptography Researcher,PQShield,Private,Standards,"Co-author of KEMTLS/AuthKEM drafts; Ph.D. on post-quantum protocols; contributor to stateful hash-based signature deployment guidance.",https://ui-avatars.com/api/?name=Thom+Wiggers&background=0b0d17&color=60a5fa&size=128&bold=true,https://pqshield.com/,https://www.linkedin.com/in/thomwiggers/,draft-ietf-tls-ecdhe-mlkem-04
Scott Fluhrer,USA,Security Researcher,Cisco Systems,Private,Standards,"Lead author of RFC 8784 (Mixing Preshared Keys in IKEv2 for PQ Security); pioneer in IKEv2 PQC since 2016.",https://ui-avatars.com/api/?name=Scott+Fluhrer&background=0b0d17&color=60a5fa&size=128&bold=true,https://www.cisco.com/,https://www.linkedin.com/in/scott-fluhrer-a824a0265/,"RFC-9909;draft-sfluhrer-ipsecme-ikev2-mldsa-00;draft-sfluhrer-ssh-mldsa"
Dr. James Howe,UK,"Vice-Chair ETSI QSC; Staff Research Scientist",SandboxAQ,Private,Standards,"Vice-Chair of QSC WG; co-author of SDitH signature scheme (NIST on-ramp); research on PQC hardware/software implementation.",https://ui-avatars.com/api/?name=James+Howe&background=0b0d17&color=60a5fa&size=128&bold=true,https://www.sandboxaq.com/,https://www.linkedin.com/in/jameshowe1729/,
Mark Pecen,Canada,Vice-Chair ETSI QSC,Beyond Affinity,Private,Standards,"Founding Chair of ETSI ISG QSC (2015); holds 100+ patents in communications/computing; shaped early QSC direction.",https://ui-avatars.com/api/?name=Mark+Pecen&background=0b0d17&color=60a5fa&size=128&bold=true,https://cyberprotection-magazine.com/interview-with-marc-pecen-on-quantum-safe-cryptography,https://www.linkedin.com/in/markpecen/,
Prof. Dr. Heung Youl Youm,South Korea,Former Chair ITU-T SG17 (2017-2024),Soonchunhyang University,Academic,Standards,Led ITU-T SG17 security standardization including QKD and PQC work for 7 years.,https://ui-avatars.com/api/?name=Heung+Youl+Youm&background=0b0d17&color=60a5fa&size=128&bold=true,https://www.sch.ac.kr/,https://www.linkedin.com/in/heung-youl-youm-77868412/,
Prof. Dr. Michele Mosca,Canada,"Founder Institute for Quantum Computing; Professor","University of Waterloo; evolutionQ",Academic,Standards,"PC Chair of ETSI/IQC Quantum Safe events; founder of IQC; global PQC advocacy leader; developed Mosca's theorem for quantum risk assessment.",https://ui-avatars.com/api/?name=Michele+Mosca&background=0b0d17&color=60a5fa&size=128&bold=true,https://uwaterloo.ca/institute-for-quantum-computing/,https://www.linkedin.com/in/dr-mosca/,"GRI-Quantum-Threat-Timeline-2024;GRI-Quantum-Threat-Timeline-2025"
Dr. Jean-Philippe Aumasson,Switzerland,Chief Security Officer,Taurus SA,Private,Algorithm Inventor,"Co-designer of SPHINCS+; creator of BLAKE hash function series; author of 'Serious Cryptography' and numerous security tools.",https://ui-avatars.com/api/?name=Jean-Philippe+Aumasson&background=0b0d17&color=f59e0b&size=128&bold=true,https://aumasson.jp/,https://www.linkedin.com/in/aumasson/,FIPS 205
Dr. Ward Beullens,Belgium,Research Scientist,IBM Research Europe Zurich,Private,Algorithm Inventor,"Principal designer of SDitH (NIST on-ramp algorithm); cryptanalyst who broke RAINBOW; expert in multivariate and code-based cryptography.",https://ui-avatars.com/api/?name=Ward+Beullens&background=0b0d17&color=f59e0b&size=128&bold=true,https://www.esat.kuleuven.be/cosic/people/ward-beullens/,https://www.linkedin.com/in/wardbeullens/,
Rob Joyce,USA,"Venture Partner; Former NSA Cybersecurity Director",DataTribe / Joyce Cyber LLC,Private,Government,"NSA Cybersecurity Director (2021-2024); led NSA's quantum computing and PQC strategy; advocate for early CNSA 2.0 adoption; retired Mar 2024; now venture partner at DataTribe and advisor to OpenAI and Microsoft.",https://ui-avatars.com/api/?name=Rob+Joyce&background=0b0d17&color=22d3ee&size=128&bold=true,https://datatribe.com/,https://www.linkedin.com/in/rob-joyce-b43445116/,
Anne Neuberger,USA,"Distinguished Lecturer; Senior Advisor",Stanford University / Andreessen Horowitz,Private,Government,"Former Deputy National Security Advisor for Cyber (2021-2025); led National Security Memorandum on quantum security (May 2022); coordinated whole-of-government PQC transition; now at Stanford and Hoover Institution.",https://ui-avatars.com/api/?name=Anne+Neuberger&background=0b0d17&color=22d3ee&size=128&bold=true,https://www.hoover.org/profiles/anne-neuberger,https://www.linkedin.com/in/anne-neuberger-13b4491b/,
Rachel Noble,Australia,Former Director-General,ASD (Australia),Public,Government,"Director-General of ASD (2020–Sep 2024); oversaw Australia's PQC strategy and quantum computing investments; coordinated Five Eyes quantum security initiatives; succeeded by Abigail Bradshaw (Sep 2024).",https://ui-avatars.com/api/?name=Rachel+Noble&background=0b0d17&color=22d3ee&size=128&bold=true,https://www.asd.gov.au/,https://www.linkedin.com/in/rachel-noble-908766324/,
Sami Khoury,Canada,"Senior Official for Cyber Security; Former Head CCCS",Government of Canada,Public,Government,"Canada's Senior Official for Cyber Security (from Sep 2024); former Head of the Canadian Centre for Cyber Security (CCCS); led Canadian cybersecurity strategy including PQC transition guidance; published ITSAP.00.017 on quantum-safe migration.",https://ui-avatars.com/api/?name=Sami+Khoury&background=0b0d17&color=22d3ee&size=128&bold=true,https://cyber.gc.ca/,https://www.linkedin.com/in/sami-khoury-1a263422/,
Dr. Brian LaMacchia,USA,"President; Founder",Farcaster Consulting Group,Private,Industry Vendor,"Former Distinguished Engineer and Head of Security & Cryptography at Microsoft Research (retired Dec 2022); 25+ years cryptographic research leadership at Microsoft; inaugural Executive Director of the MPC Alliance; PQC standards contributor and industry advisor.",https://ui-avatars.com/api/?name=Brian+LaMacchia&background=0b0d17&color=a78bfa&size=128&bold=true,,https://www.linkedin.com/in/brianlamacchia/,
Royal Hansen,USA,"Vice President; Privacy Safety and Security Engineering",Google,Private,Industry Adopter,"Leads Google's privacy safety and security engineering including PQC deployments; oversees Chrome browser PQC integration; coordinates quantum-safe strategy across Google products.",https://ui-avatars.com/api/?name=Royal+Hansen&background=0b0d17&color=10b981&size=128&bold=true,https://www.google.com/,https://www.linkedin.com/in/royal-hansen-989858/,
Nick Sullivan,USA,"Principal Consultant; Co-Chair CFRG and IRTF",Cryptography Consulting LLC,Private,Standards,"Former Cloudflare Head of Research; pioneered PQC in TLS 1.3 at scale; Co-Chair of Crypto Forum Research Group and IRTF; joining Internet Architecture Board (IAB) Mar 2026.",https://ui-avatars.com/api/?name=Nick+Sullivan&background=0b0d17&color=60a5fa&size=128&bold=true,https://nicksullivan.org/,https://www.linkedin.com/in/ntsullivan/,
