software_name,category_id,category_name,infrastructure_layer,pqc_support,pqc_capability_description,license_type,license,latest_version,release_date,fips_validated,pqc_migration_priority,primary_platforms,target_industries,authoritative_source,repository_url,product_brief,source_type,verification_status,last_verified_date,migration_phases,learning_modules,vendor_id,trusted_source_id,evidence_flags
Bouncy Castle Java LTS,CSC-001,Cryptographic Libraries,"Application, Security Stack",Yes (ML-DSA composite signatures),"Long-term support release with ML-DSA composite signatures, enabling hybrid quantum-classical signature schemes. Allows organizations to use both traditional (RSA/ECDSA) and post-quantum signatures simultaneously for defense-in-depth.",Open Source/Commercial,"MIT (based on MIT X Consortium license); Apache Software License, Version 2.0 (for BZIP2 in OpenPGP library)",2.73.10,2025-09-23,"No (Document states: ""this source tree is not the FIPS version of the APIs"").",Critical,"Java (JDK 1.1 to JDK 21+), J2ME",All industries,https://github.com/bcgit/bc-java,https://github.com/bcgit/bc-java,A Java implementation of cryptographic algorithms developed by the Legion of the Bouncy Castle.,Trusted Vendor,Verified,2026-03-30,"prepare,test,migrate",dev-quantum-impact;hybrid-crypto;tls-basics,VND-025,bouncy-castle,
OpenSSL,CSC-001,Cryptographic Libraries,"Application, Security Stack",No,"Full support for NIST-standardized PQC algorithms including ML-KEM (Module-Lattice-Based Key-Encapsulation Mechanism) for key exchange, ML-DSA (Module-Lattice-Based Digital Signature Algorithm) for signatures, and SLH-DSA (Stateless Hash-Based Digital Signature Algorithm). Enables quantum-safe TLS 1.3 connections with hybrid mode support.",Open Source,Apache-2.0,3.6,2026-01-27,"Yes, includes a cryptographic module validated to conform with FIPS standards.",Critical,"UNIX-like platforms, Android, Windows, DOS (with DJGPP), OpenVMS",All industries,https://www.openssl.org,https://github.com/openssl/openssl,Robust commercial-grade TLS/SSL and crypto library. Implements TLS 1.3 DTLS 1.3 and QUIC protocols. Reference implementation for cryptographic operations used by majority of HTTPS websites.,Community/Commercial,Verified,2026-02-13,"prepare,test,migrate",code-signing;compliance-strategy;crypto-agility;crypto-dev-apis;dev-quantum-impact;email-signing;entropy-randomness;hybrid-crypto;os-pqc;pqc-101;quantum-threats;tls-basics,VND-049,openssl-project,
Google Tink,CSC-001,Cryptographic Libraries,"Application, Security Stack",No,"Multi-language library (C++, Go, Java). Experimental PQC access available in C++. HPKE (Hybrid Public Key Encryption) support is shipping in stable releases. NIST PQC algorithm integration (ML-KEM, ML-DSA) in progress but not yet in stable releases. Used in Google infrastructure and Cloud KMS. Project restructured into language-specific repos (tink-java, tink-go, etc.).",Open Source,Apache 2.0,1.20.0,2024-06-27 (Last update of documentation),Yes (via BoringCrypto),Critical,"Java, GCP Ubuntu, MacOS",All industries,https://developers.google.com/tink,https://github.com/tink-crypto/tink-java,"A multilingual, cross-platform open-source cryptographic library providing secure and easy-to-use APIs.",Community/Commercial,Verified,2026-03-30,"prepare,test,migrate",crypto-dev-apis;dev-quantum-impact;hybrid-crypto;tls-basics,VND-018,google,
Botan,CSC-001,Cryptographic Libraries,Application,Yes (ML-KEM ML-DSA SLH-DSA LMS XMSS McEliece FrodoKEM),"Supports hybrid post-quantum key exchange in TLS 1.3 using ML-KEM or FrodoKEM. Includes post-quantum signature schemes: ML-DSA (Dilithium), SLH-DSA (SPHINCS+), HSS/LMS, XMSS. Includes post-quantum key encapsulation schemes: ML-KEM (Kyber), FrodoKEM, Classic McEliece.",Open Source,BSD-2-Clause (Simplified BSD),3.10.0,2025-11-06,No,High,"Fedora, Debian, Arch, Homebrew; C++, C, Python APIs available.",All industries,https://github.com/randombit/botan,https://github.com/randombit/botan,"A cryptography library offering tools for TLSv1.3, X.509 PKI, modern AEAD ciphers, and post-quantum cryptography.",Open Source Foundation,Verified,2026-03-30,"prepare,test,migrate",crypto-dev-apis;dev-quantum-impact;hybrid-crypto;tls-basics,VND-069,oqs-project,
SafeLogic CryptoComply,CSC-001,Cryptographic Libraries,Application,Yes (ML-KEM ML-DSA SLH-DSA Hybrid),"Provides a drop-in replacement for OpenSSL 3.x based TLS 1.3. Features Pure PQ mode using NIST standard ML-KEM (FIPS 203), Hybrid mode combining classical and PQC, and Legacy mode. Implementation is CAVP-certified and claims to be 20% faster than PKI.",Commercial,Proprietary,Go v4.0,2026-01,Yes (FIPS 140-3 validated algorithms; CAVP-certified ML-KEM implementation),High,"Go, Java, Mobile, .NET (Core); Multiple platforms mentioned generally.","Communications, Cybersecurity, Financial Services, Healthcare, Public Sector, Technology, Government, Military",https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program/details?product=18289,,"Drop-in, commercial-grade, quantum-resistant TLS solution leveraging CAVP-certified ML-KEM.",Trusted Vendor,Verified,2026-03-30,"prepare,test,migrate",aerospace-pqc;dev-quantum-impact;healthcare-pqc;hybrid-crypto;tls-basics,VND-034,nist-csrc,
SAP Cryptographic Library,CSC-001,Cryptographic Libraries,Application,Yes (ML-KEM ML-DSA),"Version 8.6 enables quantum-safe TLS 1.3 handshake using hybrid ECDHE-MLKEM key agreement based on X25519MLKEM768. ML-KEM is a standardized FIPS-203 algorithm for key encapsulation, preventing session key decryption by quantum computers.",Proprietary,Commercial,8.6 (specifically CommonCryptoLib 8.6.2 mentioned in release note),2025-12-12,"Yes, FIPS 140-3 certified (Certificate #5093) for the FIPS crypto kernel module.",High,"SAP NetWeaver Application Server for ABAP, SAP HANA","US public sector agencies, healthcare, financial industries, Enterprise",https://community.sap.com/t5/technology-blogs-by-sap/new-version-8-6-of-the-sap-cryptographic-library-with-quantum-safe/ba-p/14280039,,"Enables applications like SAP S/4 HANA to support security protocols such as TLS, SNC, SSF, and X.509 with quantum-safe cryptography.",Trusted Vendor,Verified,2026-03-25,"prepare,test,migrate",crypto-dev-apis;dev-quantum-impact;hybrid-crypto;tls-basics,VND-033,sap,
PQShield PQSDK,CSC-001,Cryptographic Libraries,Application,Yes (ML-KEM ML-DSA Falcon),"Provides implementations of PQC key agreement and digital signature algorithms via PQCryptoLib integrated into OpenSSL (v3.2.0+) and mbedTLS (v3.2.1). Supports hybrid modes (classical plus PQC). Enables post-quantum TLS 1.3 and X.509 PKI support. Algorithms include Falcon, ML-KEM, and ML-DSA.",Commercial,Commercial,R24.3.1,2024-07-12,"No (References FIPS-203 and FIPS-204 standards for algorithms, but no validation status mentioned)",Critical,"Linux (x86_64 and ARM64), macOS, MS Windows",All industries,https://pqshield.com/products/pqc-sdk/,,PQShield PQCryptoLib-SDK development kit (also marketed as PQSDK). High-assurance post-quantum cryptography SDK for enterprise and embedded security. Note: product is formally named PQCryptoLib-SDK.,Trusted Vendor,Verified,2026-03-30,"prepare,test,migrate",dev-quantum-impact;hybrid-crypto;tls-basics,VND-030,pqshield,
Go stdlib crypto/mlkem,CSC-001,Cryptographic Libraries,Application,Yes (ML-KEM-768 and ML-KEM-1024),"Implements ML-KEM (formerly Kyber) per NIST FIPS 203. Supports parameter sets ML-KEM-768 and ML-KEM-1024 via DecapsulationKey and EncapsulationKey types. Provides functions for key generation, encapsulation, and decapsulate operations. Includes a testing package (mlkemtest) for derandomized encapsulation.",Open Source,BSD-3-Clause,go1.26.1,2026-03-06,"No (Implements algorithm specified in NIST FIPS 203, but no validation status stated)",Critical,Go programming language environments,All industries,https://cs.opensource.google/go/go,https://github.com/golang/go/tree/master/src/crypto/mlkem,A standard library package implementing the quantum-resistant ML-KEM key encapsulation method as specified in NIST FIPS 203.,Open Source Foundation,Verified,2026-02-13,"prepare,test,migrate",crypto-dev-apis;dev-quantum-impact;hybrid-crypto;tls-basics,VND-018,nist-csrc,
RustCrypto ml-kem,CSC-001,Cryptographic Libraries,Application,Yes (ML-KEM/FIPS 203),"Implements ML-KEM (formerly Kyber), a post-quantum secure key encapsulation mechanism standardized by NIST in FIPS 203. Supports three security levels: MlKem512 (128-bit), MlKem768 (192-bit), and MlKem1024 (256-bit). Implementation is pure Rust, version 0.2.3. Security warning states it has never been independently audited.",Open Source,"Apache License, Version 2.0 OR MIT license",0.2.3,2025-10,"No (Implements algorithm described in FIPS 203, but implementation is not stated as validated)",High,"aarch64-apple-darwin, aarch64-unknown-linux-gnu, i686-pc-windows-msvc, x86_64-pc-windows-msvc, x86_64-unknown-linux-gnu",All industries,https://github.com/RustCrypto/KEMs,https://github.com/RustCrypto/KEMs/tree/master/ml-kem,Pure Rust implementation of the Module-Lattice-Based Key-Encapsulation Mechanism (ML-KEM) standard.,Open Source Community,Verified,2026-03-30,"prepare,test,migrate",dev-quantum-impact;hybrid-crypto;research-quantum-impact;tls-basics,VND-050,nist-csrc,no-cert-backing; v0.3.0 is RC only
RustCrypto ml-dsa,CSC-001,Cryptographic Libraries,Application,Yes (ML-DSA / CRYSTALS-Dilithium),"Implements ML-DSA (formerly CRYSTALS-Dilithium) per FIPS 204 final. Supports parameter sets MlDsa44 (Category 2), MlDsa65 (Category 3), and MlDsa87 (Category 5). Implementation is pure Rust, supports `no_std`, and includes key generation, signing, and verification. Warning: Never independently audited; use at own risk.",Open Source,Apache-2.0 OR MIT,0.0.4,2025,No (Implementation describes FIPS 204 but is not stated as validated; explicitly warns it has never been independently audited),High,"i686-pc-windows-msvc, i686-unknown-linux-gnu, x86_64-apple-darwin, x86_64-pc-windows-msvc, x86_64-unknown-linux-gnu; supports bare-metal and WebAssembly.",All industries,https://github.com/RustCrypto/signatures (Repository); https://docs.rs/ml-dsa (Documentation),https://github.com/RustCrypto/signatures/tree/master/ml-dsa,Pure Rust implementation of the Module-Lattice-Based Digital Signature Standard (ML-DSA) as described in FIPS 204.,Open Source Community,Verified,2026-02-13,"prepare,test,migrate",dev-quantum-impact;hybrid-crypto;research-quantum-impact;tls-basics,VND-050,nist-csrc,
RustCrypto slh-dsa,CSC-001,Cryptographic Libraries,Application,Yes (SLH-DSA/SPHINCS+ implemented per FIPS-205),"Implements Stateless Hash-based Digital Signature Algorithm (SLH-DSA) based on SPHINCS+, finalized in NIST FIPS-205. Supports 12 parameter sets (SHA2 and SHAKE variants at L1, L3, L5 security). Signatures range from 7KB to 50KB. Implementation is not independently audited; requires Rust 1.75+.",Open Source,Apache-2.0 OR MIT,0.1.0,2025,"No (Implementation based on FIPS-205 standard, but not stated as validated; warning notes lack of independent audit)",High,"i686-pc-windows-msvc, i686-unknown-linux-gnu, x86_64-apple-darwin, x86_64-pc-windows-msvc, x86_64-unknown-linux-gnu; supports `no_std` for bare-metal/WebAssembly.",All industries,"https://github.com/RustCrypto/signatures (Repository), https://docs.rs/slh-dsa (Documentation)",https://github.com/RustCrypto/signatures/tree/master/slh-dsa,Pure Rust implementation of the SLH-DSA (SPHINCS+) signature scheme based on FIPS-205.,Open Source Community,Verified,2026-02-13,"prepare,test,migrate",dev-quantum-impact;hybrid-crypto;research-quantum-impact;tls-basics,VND-050,nist-csrc,
pqcrypto,CSC-001,Cryptographic Libraries,Application,Yes (bindings to NIST competition algorithms via PQClean),"Provides Rust bindings to C implementations of cryptographic algorithms from the NIST competition, generated from the PQClean project. Supports variants controlled by `implementations.yaml`. Maturity is indicated by repository activity and documentation on docs.rs.",Open Source,Apache-2.0/MIT,0.18.1,2026-02-27,No,Medium,Rust (Language),All industries,https://github.com/rustpq/pqcrypto,https://github.com/rustpq/pqcrypto,Rust bindings to C implementations of NIST post-quantum cryptographic algorithms based on PQClean.,Open Source Community,Verified,2026-02-13,"prepare,test,migrate",dev-quantum-impact;hybrid-crypto;research-quantum-impact;tls-basics,VND-080,oqs-project,
liboqs-rust (oqs crate),CSC-001,Cryptographic Libraries,Application,Yes (Supports KEMs and Signature schemes including NIST standardization candidates),"Provides Rust wrappers for liboqs, a C library for quantum-resistant cryptography. Supports KEMs (BIKE, Classic McEliece, FrodoKEM, HQC, Kyber, ML-KEM, NTRU Prime) and Signatures (Cross, Dilithium, Falcon, Mayo, ML-DSA, SPHINCS+, UOV). Designed for prototyping; recommends hybrid cryptography alongside traditional algorithms.",Open Source,"Apache-2.0, MIT (Dual-licensed)",0.10.1 (for `oqs` crate); 0.9.0+liboqs-0.9.0 (versioning scheme mentioned),2026-03-01 (Last Updated timestamp in document),No,High,Rust environments; supports `no_std` and system-provided or vendored builds,All industries,https://github.com/open-quantum-safe/liboqs-rust,https://github.com/open-quantum-safe/liboqs-rust,Rust bindings for the Open Quantum Safe C library providing quantum-resistant cryptographic algorithms.,Open Source Foundation,Verified,2026-02-13,"prepare,test,migrate",crypto-dev-apis;dev-quantum-impact;hybrid-crypto;research-quantum-impact;tls-basics,VND-048,oqs-project,
mlkem-native,CSC-001,Cryptographic Libraries,Application,Yes (ML-KEM / FIPS 203),"Implementation of ML-KEM (FIPS 203) with support for security levels 512, 768, and 1024. Includes formal verification (CBMC, HOL-Light) for memory safety, type safety, and constant-time execution on AArch64 and x86_64. Supports native backends for Arm, Intel/AMD, and RISC-V. Used as a default implementation in libOQS, AWS-LC, and rustls.",Open Source,"Apache-2.0, ISC, MIT (Multiple licenses listed in badges; NOASSERTION in metadata)",1.0.0,2026-03-04,"No (Implements FIPS 203 standard, but validation status not stated)",High,"Arm (64-bit Neon, 32-bit Helium/MVE), Intel/AMD (64-bit AVX2), RISC-V (64-bit RVV); Ubuntu mentioned for quickstart.",All industries,https://github.com/pq-code-package/mlkem-native,https://github.com/pq-code-package/mlkem-native,"Secure, fast, and portable C90 implementation of ML-KEM / FIPS 203.",Open Source Foundation,Verified,2026-02-13,"prepare,test,migrate",dev-quantum-impact;hybrid-crypto;research-quantum-impact;tls-basics,VND-079,pqca,
leancrypto,CSC-001,Cryptographic Libraries,Application,Yes (ML-KEM ML-DSA HQC SHA-3 SHAKE Ascon),"The library exclusively contains PQC-resistant algorithms. It implements NIST-approved schemes: ML-DSA/Dilithium, ML-KEM/Kyber, SLH-DSA/Sphincs+, and BIKE. Accelerated implementations exist for x86_64, ARMv7/ARMv8, and RISCV64. Algorithms are tested with NIST ACVP and hold official CAVP certificates.",Open Source,GPL-2.0+/BSD/Leancrypto,Current,2025-11-17,"Yes (Official CAVP certificates received for algorithms tested with NIST ACVP; references FIPS 203, FIPS 204, FIPS 205)",High,"Linux user space, Linux kernel space, BSD user space, Apple OSes user space, Windows user space, EFI environment",All industries,https://github.com/smuellerDD/leancrypto,https://github.com/wolfeidau/leancrypto,A cryptographic library exclusively containing PQC-resistant algorithms with minimal dependencies and support for multiple environments.,Open Source Community,Verified,2026-02-13,"prepare,test,migrate",crypto-dev-apis;dev-quantum-impact;hybrid-crypto;iot-ot-pqc;tls-basics,VND-087,oqs-project,
Cosmian covercrypt,CSC-001,Cryptographic Libraries,Application,Yes (ML-KEM),Post-quantum secure with a 128-bit security level. Supports hybridization using INDCPA-KYBER (INDCPA version of NIST standard Kyber). Data encrypted with AES-GCM 256-bit. Uses Curve25519 for classic coordinates and INDCPA-Kyber for hybridized coordinates.,Open Source,NOASSERTION,Current,2026-02-13,No,High,Rust (Cargo),Finance Healthcare Defense,https://github.com/Cosmian/cover_crypt,https://github.com/Cosmian/cover_crypt,Implementation of the CoverCrypt attribute-based encryption algorithm in Rust.,Trusted Vendor,Verified,2026-02-13,"prepare,test,migrate",aerospace-pqc;dev-quantum-impact;healthcare-pqc;hybrid-crypto;tls-basics,VND-085,microsoft,no-cert-backing
pqm4,CSC-001,Cryptographic Libraries,"Application, Hardware",Yes (NIST PQC Suite; ML-KEM; ML-DSA),"Library contains implementations of post-quantum key-encapsulation mechanisms and signature schemes targeting ARM Cortex-M4. Includes schemes standardized by NIST (FIPS 203, 204, 205), selected for standardization, part of NIST Round 4, additional signatures Round 1, and KpqC Round 2. Integrates clean implementations from PQClean.",Open Source,Apache-2.0/MIT/CC0,Current,2026-03-04,"No (Text mentions schemes standardized by NIST in FIPS 203, 204, 205, but does not state the library itself is FIPS validated)",Medium,"ARM Cortex-M4 microcontrollers; Development boards: Nucleo-L4R5ZI, STM32F4 Discovery, Nucleo-L476RG, CW308T-STM32F3, MPS2(+) FPGA prototyping board.",Embedded,https://github.com/mupq/pqm4,https://github.com/mupq/pqm4,Post-quantum crypto library and benchmarking framework for ARM Cortex-M4 microcontrollers.,Open Source Community,Verified,2026-02-13,"prepare,test,migrate",dev-quantum-impact;iot-ot-pqc;research-quantum-impact;tls-basics,VND-077,oqs-project,
HQC Algorithm,CSC-001,Cryptographic Libraries,Application,"Yes (Kyber, HQC, Classic McEliece, Dilithium, Falcon, SPHINCS+)","Provides standalone C implementations of NIST PQC finalists and alternate candidates including Kyber, HQC, Classic McEliece, Dilithium, Falcon, and SPHINCS+. Designed for integration into libraries like liboqs or protocols. Not a single integrated library; requires manual integration. Deprecation planned for July 2026.",Open Source,"Mixed (CC0 for repository code, individual licenses per implementation in subdirectories, MIT/Public Domain for common files)",N/A,2026-03-04,No,Critical,"Linux, MacOS, Windows",All industries,https://github.com/PQClean/PQClean,https://github.com/PQClean/PQClean,"Clean, portable, tested implementations of post-quantum cryptography schemes in C.",Open Source Community,Verified,2026-03-30,"prepare,test,migrate",dev-quantum-impact;research-quantum-impact;tls-basics,VND-078,nist-csrc,
citadel_pqcrypto,CSC-001,Cryptographic Libraries,Application,Yes (ML-KEM; NTRU+ claim unverified),Rust library for Citadel Protocol with multi-layered encryption and anti-replay protection. Features novel 3D matrix ratcheting and scramcryption.,Open Source,Apache-2.0/MIT,Current,2025,No,High,Cross-platform,All industries,https://crates.io/crates/citadel_pqcrypto,https://github.com/citadel-protocol/citadel_pqcrypto,PQC library for Citadel Protocol with built-in anti-replay and ratcheting.,Open Source Community,Needs Verification,2026-03-30,"prepare,test,migrate",crypto-dev-apis;dev-quantum-impact;hybrid-crypto;tls-basics,VND-000,microsoft,ntru-plus-unverified; no-cert-backing
